country,year,suicide_rate(%),suicides_no,population,Year,Happiness Score,Economy (GDP per Capita)
Albania,2015,0.0,0.0,2719684.0,2015,4.959,0.8786700000000001
Argentina,2015,0.007740627467907504,3073.0,39699624.0,2015,6.574,1.05351
Armenia,2015,0.0026472676799024087,74.0,2795335.0,2015,4.35,0.7682100000000001
Australia,2015,0.013610131117224505,3027.0,22240785.0,2015,7.284,1.33358
Austria,2015,0.015220114981824675,1251.0,8219386.0,2015,7.2,1.33723
Belarus,2015,0.0,0.0,8910347.0,2015,5.813,1.0319200000000002
Belgium,2015,0.01757282982610899,1867.0,10624356.0,2015,6.937,1.30782
Brazil,2015,0.005841839075623557,11163.0,191087085.0,2015,6.983,0.98124
Chile,2015,0.01109519806709335,1838.0,16565725.0,2015,6.67,1.10715
Colombia,2015,0.005241577025098006,2332.0,44490427.0,2015,6.477,0.91861
Croatia,2015,0.018467294521360963,739.0,4001669.0,2015,5.7589999999999995,1.08254
Cyprus,2015,0.005024892059037457,40.0,796037.0,2015,5.689,1.20813
Czech Republic,2015,0.013884822047535744,1387.0,9989325.0,2015,6.505,1.17898
Denmark,2015,0.010477312160741287,564.0,5383060.0,2015,7.527,1.32548
Ecuador,2015,0.007382676676466201,1073.0,14534024.0,2015,5.975,0.8640200000000001
Egypt,2015,6.0847941931186405e-05,48.0,78885166.0,2015,4.194,0.8818
Estonia,2015,0.015682174594877155,195.0,1243450.0,2015,5.428999999999999,1.15174
Finland,2015,0.014107075209623225,731.0,5181797.0,2015,7.406000000000001,1.29025
Georgia,2015,0.005551700208188758,192.0,3458400.0,2015,4.297,0.7419
Germany,2015,0.012910709301545344,10088.0,78136683.0,2015,6.75,1.32792
Greece,2015,0.005120369332530335,529.0,10331286.0,2015,4.857,1.15406
Guatemala,2015,0.003464625090744773,494.0,14258397.0,2015,6.122999999999999,0.74553
Hong Kong,2015,0.014123689278835866,990.0,7009500.0,2015,5.474,1.38604
Hungary,2015,0.019894522818474515,1868.0,9389519.0,2015,4.8,1.12094
Iceland,2015,0.012963695171671731,40.0,308554.0,2015,7.561,1.3023200000000001
Iran,2015,0.0032734850923046206,2372.0,72460999.0,2015,4.686,1.0088
Israel,2015,0.0045501837369514835,342.0,7516180.0,2015,7.278,1.2285700000000002
Italy,2015,0.0068619374232946635,3988.0,58117697.0,2015,5.9479999999999995,1.25114
Japan,2015,0.0191831764904573,23092.0,120376310.0,2015,5.987,1.27074
Kazakhstan,2015,0.01835524714650044,2872.0,15646752.0,2015,5.855,1.1225399999999999
Kyrgyzstan,2015,0.0080256713705056,417.0,5195827.0,2015,5.2860000000000005,0.47428000000000003
Latvia,2015,0.020634255423290157,387.0,1875522.0,2015,5.098,1.11312
Lithuania,2015,0.032535369505208196,896.0,2753926.0,2015,5.832999999999999,1.14723
Luxembourg,2015,0.011901485454153246,64.0,537748.0,2015,6.946000000000001,1.5639100000000001
Malta,2015,0.008279818915489838,34.0,410637.0,2015,6.3020000000000005,1.2074
Mauritius,2015,0.009005514145584526,104.0,1154848.0,2015,5.477,1.0076100000000001
Mexico,2015,0.005451307581032192,6234.0,114357884.0,2015,7.187,1.02054
Netherlands,2015,0.011664446083293237,1873.0,16057342.0,2015,7.377999999999999,1.32944
Nicaragua,2015,0.0057518666633311925,315.0,5476483.0,2015,5.827999999999999,0.59325
Norway,2015,0.012082961202021172,590.0,4882909.0,2015,7.522,1.459
Panama,2015,0.003069725750701432,110.0,3583382.0,2015,6.7860000000000005,1.0635299999999999
Poland,2015,0.01501943589825302,5420.0,36086575.0,2015,5.791,1.12555
Qatar,2015,0.002803563243926569,66.0,2354147.0,2015,6.611000000000001,1.69042
South Korea,2015,0.02775737351718919,13510.0,48671752.0,2015,5.984,1.24461
Moldova,2015,0.016535020936429386,556.0,3362560.0,2015,5.888999999999999,0.59448
Romania,2015,0.011810902364072973,2228.0,18863927.0,2015,5.124,1.04345
Russia,2015,0.018560937227489777,25432.0,137018943.0,2015,5.716,1.13764
Serbia,2015,0.01569518589336791,1062.0,6766406.0,2015,5.122999999999999,0.92053
Singapore,2015,0.008846190558775406,329.0,3719115.0,2015,6.797999999999999,1.52186
Slovenia,2015,0.021589741700739577,422.0,1954632.0,2015,5.848,1.18498
South Africa,2015,0.0009712364888309819,482.0,49627460.0,2015,4.6419999999999995,0.9204899999999999
Spain,2015,0.008156332174367717,3604.0,44186528.0,2015,6.329,1.23011
Sweden,2015,0.012968312991440913,1182.0,9114524.0,2015,7.364,1.33171
Switzerland,2015,0.01359518185741353,1073.0,7892502.0,2015,7.587000000000001,1.3965100000000001
Thailand,2015,0.006864042466239196,4205.0,61261276.0,2015,6.455,0.9669
Turkey,2015,0.002131316236355959,1532.0,71880464.0,2015,5.332000000000001,1.06098
Turkmenistan,2015,0.0027217767103501597,133.0,4886514.0,2015,5.547999999999999,0.95847
Ukraine,2015,0.018772874638689083,7574.0,40345446.0,2015,4.681,0.79907
United Kingdom,2015,0.008038250678888388,4910.0,61082942.0,2015,6.867000000000001,1.26637
United States,2015,0.01472581287235193,44189.0,300078511.0,2015,7.119,1.3945100000000001
Uruguay,2015,0.019744295700601263,630.0,3190795.0,2015,6.485,1.06166
